player1;player2;bot_type;game_number;nodes;depth;move;cache_hits;time;cache_size;move_number;round_number
FINAL1;NOTABUG;final1;11.0;328356.0;10.0; (6 , 7): -13;765.0;599.0;107598.0;17.0;9.0
FINAL1;NOTABUG;final1;11.0;344350.0;9.0; (2 , 7): -19;435.0;344.0;90858.0;19.0;10.0
FINAL1;NOTABUG;final1;11.0;284969.0;12.0; (8 , 8): 9;610.0;565.0;109305.0;21.0;11.0
FINAL1;NOTABUG;final1;11.0;309497.0;8.0; (8 , 2): -24;1007.0;354.0;97704.0;23.0;12.0
FINAL1;NOTABUG;final1;11.0;283733.0;10.0; (6 , 6): 212;1047.0;150.0;96216.0;25.0;13.0
FINAL1;NOTABUG;final1;11.0;407613.0;12.0; (1 , 1): 51;3517.0;246.0;204482.0;27.0;14.0
FINAL1;NOTABUG;final1;11.0;280671.0;12.0; (7 , 5): -170;116.0;600.0;5907.0;29.0;15.0
FINAL1;NOTABUG;final1;11.0;261791.0;14.0; (1 , 5): -45;855.0;600.0;71447.0;31.0;16.0
FINAL1;NOTABUG;final1;11.0;147725.0;4.0; (7 , 0): -163;0.0;600.0;1577.0;33.0;17.0
FINAL1;NOTABUG;final1;11.0;125230.0;6.0; (1 , 4): -156;2.0;600.0;786.0;35.0;18.0
FINAL1;NOTABUG;final1;12.0;0.0;0.0; (4 , 7): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;12.0;0.0;0.0; (1 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;12.0;0.0;0.0; (6 , 6): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;12.0;243147.0;8.0; (7 , 4): 10;510.0;773.0;70241.0;8.0;4.0
FINAL1;NOTABUG;final1;12.0;255735.0;10.0; (2 , 6): -13;655.0;725.0;83384.0;10.0;5.0
