;player1;player2;game_number;playerId;winnerId;wonMacroFieldsP1;wonMacroFieldsP2;macroBoard;mBoard
39;FINAL1;NOTABUG;40.0;2.0;1.0;4.0;2.0; 2,2,-1,0,1,0,1,1,1; 2,1,2,2,2,2,1,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,2,0,0,1,2,1,2,2,0,0,2,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,2,0,0,0,0,0
40;FINAL1;NOTABUG;41.0;1.0;2.0;1.0;3.0; 2,-1,-1,1,2,-1,-1,-1,2; 2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,1,2,0,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,0,0,1,0,2,2,2,1,1
41;FINAL1;NOTABUG;42.0;2.0;1.0;3.0;4.0; 1,2,-1,2,1,2,-1,2,1; 0,0,0,2,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,2,2,1,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,2,2,2,0,0,0
42;FINAL1;NOTABUG;43.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
43;FINAL1;NOTABUG;44.0;2.0;1.0;4.0;2.0; -1,2,1,-1,1,-1,1,2,1; 0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,2,1,0,1,0,1,0,0,2,0,0,0,1,2,2,0,2,0,1,1,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,2,1,1,2,0,0,0,1,2
44;FINAL1;NOTABUG;45.0;1.0;2.0;1.0;3.0; -1,2,-1,-1,2,-1,-1,2,1; 0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,1,2
45;FINAL1;NOTABUG;46.0;2.0;1.0;4.0;1.0; 0,1,-1,2,1,0,0,1,1; 0,2,0,1,1,1,0,0,0,2,2,0,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,2,1,2,0,0,0,0,1,0,2,0,1,0,1,0,0,2,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,2,0,1,2,2,0,1,0
46;FINAL1;NOTABUG;47.0;1.0;2.0;1.0;4.0; 2,-1,1,-1,2,-1,2,-1,2; 0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0
47;FINAL1;NOTABUG;48.0;2.0;1.0;3.0;2.0; 1,-1,2,-1,1,-1,-1,2,1; 0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,1,2,2,2,1,1,1,1,2,0,2,1,0,0,0,0
48;FINAL1;NOTABUG;49.0;1.0;2.0;2.0;3.0; 2,-1,1,-1,2,-1,1,-1,2; 0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,2,0,0,2,0,0,0,0,2,1,0,1,0,1,1,1,0,0,1,2,0,1,0,1,0,1,2,0,2,0,2,2,1,2,1,0,0,2,0
49;FINAL1;NOTABUG;50.0;2.0;1.0;4.0;2.0; -1,1,1,2,1,-1,1,-1,2; 1,0,2,0,1,0,0,0,0,1,2,0,0,1,0,1,1,1,0,0,2,2,1,0,0,0,2,2,2,0,1,0,0,2,0,0,1,0,0,2,1,0,0,2,0,2,2,2,2,0,1,0,0,1,0,0,1,0,2,0,1,2,2,0,0,1,1,0,0,1,2,2,0,0,1,0,0,1,0,2,1
50;FINAL1;NOTABUG;51.0;1.0;2.0;3.0;4.0; 2,1,2,-1,2,-1,1,1,2; 2,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,1,1,0,1,1,0,0,0,2,1,0,1,2,0,1,0,0,2,2,2,0,1,0,0,1,2,2,1
51;FINAL1;NOTABUG;52.0;2.0;1.0;3.0;1.0; -1,-1,1,-1,1,-1,1,2,-1; 0,1,0,2,0,0,1,0,0,2,2,0,0,2,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,0,0,0,1,0,0,2,2,0,2,0,0,1,0,2,0,2,0,0,1
52;FINAL1;NOTABUG;53.0;1.0;2.0;3.0;4.0; 2,1,1,-1,2,1,2,-1,2; 2,2,2,1,2,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,1,0,1,2,2,2,1,1,1,0,0,0,1,2,2,0,1,2,2,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2
53;FINAL1;NOTABUG;54.0;2.0;1.0;3.0;0.0; 1,-1,-1,-1,1,-1,-1,-1,1; 2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,2,2,0,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,2,1,0,0
54;FINAL1;NOTABUG;55.0;1.0;2.0;2.0;4.0; 0,-1,2,0,2,1,2,1,2; 2,1,0,1,2,0,0,0,1,1,1,0,1,0,0,2,2,2,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,2,0,2,1,2,2,2,0,0,0,0,0,2,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,2
55;FINAL1;NOTABUG;56.0;2.0;1.0;3.0;1.0; 1,-1,-1,-1,1,2,-1,-1,1; 0,0,1,2,1,2,0,1,2,0,2,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
56;FINAL1;NOTABUG;57.0;1.0;2.0;0.0;4.0; -1,-1,2,-1,2,-1,2,-1,2; 0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,2,0,1,0,2,0,0,0,0,2,0,0,1,2,1,1,0,0,2,0,0
57;FINAL1;NOTABUG;58.0;2.0;1.0;4.0;2.0; -1,1,-1,2,1,2,1,1,-1; 1,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,1,2,2,2,2,0,0,2,2,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1,0,0
58;FINAL1;NOTABUG;59.0;1.0;2.0;1.0;3.0; -1,-1,2,-1,2,-1,2,1,-1; 0,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2,2,2,0,1,0,1,0,0,0,0,0,0,1,2,2,1,0,2,1,2,1,2,0,2,2,2,1,1,1,0,1,2
59;FINAL1;NOTABUG;60.0;2.0;1.0;3.0;1.0; 1,0,0,2,1,-1,0,0,1; 0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,0,1,0,0,0,2,0,2,0,2,2,1,0,0,2,0,1,1,0,2,2,1,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,2,0,1
60;FINAL1;NOTABUG;61.0;1.0;2.0;1.0;4.0; -1,-1,1,-1,2,-1,2,2,2; 0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,0,2,0,0,2,0,0,0,0,0,2,0,1,2,1,0,1,0
61;FINAL1;NOTABUG;62.0;2.0;1.0;3.0;0.0; 1,-1,-1,-1,1,-1,-1,-1,1; 1,1,1,2,0,2,2,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,2,0,1,0,2,0,0,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,2,0,2,1,0,0
